File Name,Pitch Data
37.mid,"65,65,65,64,67,67,69,64,65,62,60,60,65,65,65,65,64,67,69,69,69,67,67,65,65"
38.mid,"60,65,65,67,65,67,65,65"
39.mid,"64,62,67,69,72,69,72,72,72,67,69,67,69,72,72,74,72,72,71,72,72,71,72,72,72,71,72,71,69,72,71,74,71,72,72,69,72,74,72,71,72,72,71,72,69,69,76,76,76,74,76,79,74,74,72,71,72,72,71,72,72,72,74,72,71,69,67,67,69,71,72,71,69,69,72,69,72,69,71,72,71,69,67,69,69,67,67,62,67,69,72,69,71,72,71,69,67,69,69,67,69,72,74,72,69,67,69,72,71,69,69,67,69,67,67,62,65,64,67,64,65,65,64"
40.mid,"62,65,67,69,67,67,69,67,67,69,69,69,67,69,72,67,67,65,67,67,69,67,67,67,69,67,67,69,67,67,67,69,71,72,71,69,69,71,72,71,69,67,69,72,69,67,69,69,67,72,74,72,72,69,72,74,72,72,74,74,72,72,74,69,71,72,71,69,67,69,69,67,65,67,69,72,69,69,67,72,72,72,71,72,71,69,67,69,67,69,67,65,67,67,65,65,67,69,69,69,67,67,65,67,65,64,65,62,65,60,62,64,65,64,65,64,62,62,65,67,69,67,67,67,67,67,69,69,69,67,69,72,67,67,65,67,69,67,67,69,67,67,69,67,69,67,69,72,69,65,65,65,64,64,65,67,67,65,67,65,64,67,69,65,67,67,69,72,69,72,69,69,67"
41.mid,"60,62,65,62,69,72,69,69,69,69,69,69,67,69,72,69,67,67,65,67,69,67,69,67,65,67,65,65,64,67,69,65,67,65,64,65,62,65,62,64,65,64,65,64,62,62,65,67,69,67,67,67,69,69,69,65,69,72,67,64,65,62,65,62,62,62,65,67,65,65,64,65,67,69,69,67,65,64,64,65,67,65,67,67,65,65,65,67,69,72,69,69,69,67,69,67,65,67,65,65,67,69,65,64,62,65,62,62,60,65,67,65,62,65,69,67,69,67,64,65,67,69,65,67,65,64,62,64,65,64,65,64,62"
42.mid,"65,67,65,67,69,72,72,72,67,71,72,69,69,67,69,67,65,69,69,65,67,69,72,72,72,67,71,72,69,67,65,67,69,69,67,67,72,72,71,72,69,67"
43.mid,"64,65,67,67,69,72,69,67,69,65,67,69,67,67,67,67,67,67,67,69,67,67,65,64,62,67,69,67,65,64,62,65,67,69,67,67,72,72,71,72,69,67,69,67"
44.mid,"60,62,62,69,72,69,69,69,67,65,67,69,69,67,69,71,69,71,72,69,69,67,69,65,67,69,67,69,72,69,69,67,65,67,69,67,65,62,65,62,62,60,65,65,67,69,67,69,67,65,64,67,65,64,62,62,69,69,69,67,67,65,67,69,67,65,62"
45.mid,"64,65,67,67,65,67,69,69,67,67,67,69,67,65,67,69,67,65,65,65,69,72,72,74,72,72,71,69,67,67,67,65,64,62,62,65,67,69,67,67,72,72,71,72,69,67,69,67"
46.mid,"60,65,65,67,65,67,65,65"
47.mid,"67,69,71,72,71,69,72,69,67,67,72,71,72,76,72,74,76,74,76,76,74,74,76,76,72,74,76,74,74,72,74,72,72,71,74,72,71,69,72,71,72,74,74,71,72,69,67,69,67,65,67,71,69,67,69,69,69,69,69,72,74,72,74,76,74,74,71,72,74,72,71,69,69,71,72,71,69,67,69,72,69,67,69,69,67,67,74,74,72,74,77,74,76,77,74,77,76,74,67,69,67,69,67,65,67,69,67,69,72,69,69,69,74,74,72,72,71,69,69,71,72,71,69,72,69,67,67,69,72,69,72,71,69,67"
48.mid,"67,69,67,67,67,69,67,67,69,72,72,71,72,74,72,74,76,74,74,74,74,74,76,74,74,74,72,72,71,69,72,72,72,72,72,69,71,72,74,72,71,69,69,71,72,71,69,67,69,72,69,67,69,69,67,72,72,74,72,72,72,74,72,72,67,69,72,69,72,69,69,67,69,67,72,67,69,72,72,72,72,72,71,69,74,72,74,76,74,74,76,74,74,72,72,71,72,72,71,69,72,72,74,72,71,72,69,67,67,69,72,69,72,71,69,67"
